method,n_users,trial,success,final_pE,final_pN,offloading_size,restricted_gap,final_grid_ne_gap,final_grid_ne_gap_source,esp_revenue,nsp_revenue,joint_revenue,runtime_sec,stage2_solver_calls,audit_stage2_solver_calls,total_stage2_solver_calls,error
BO-online,150,5,1,3.8521503802487147,2.937831412451524,13,14.677675236601488,5.704146750680451,audit_grid,131.41590186634448,112.49317478450475,243.90907665084922,1231.5048022920382,1071,240,1311,
MARL,150,5,1,4.802,5.401,3,53.86790641299749,62.97259128150269,audit_grid,34.03247769787675,34.65931710819902,68.69179480607576,65.3737567080534,60,240,300,
GA,150,6,1,2.325276,4.518919,18,4.768033483715868,0.25259440595300475,audit_grid,134.83551350433385,173.16442192759607,307.9999354319299,4517.094058250019,3092,240,3332,
BO-online,150,6,1,3.5258179643417122,3.1482922601950523,16,20.990621563476708,7.048793011712547,audit_grid,150.32280950452875,125.5316904078021,275.8544999123309,1532.2750593329547,1071,240,1311,
MARL,150,6,1,4.802,5.401,6,51.1608647318003,57.098472189418814,audit_grid,64.53246793172208,53.14335946247811,117.67582739420018,80.78456654201727,60,240,300,
GA,150,7,1,2.875738,4.208737,16,1.2405530790647106,0.0,audit_grid,144.3606261808178,167.94948000000005,312.31010618081785,4891.72157516703,3447,240,3687,
BO-online,150,7,1,5.518185121711505,2.6292858932832295,13,9.298354032246692,3.9546146888388876,audit_grid,162.51367753619277,104.7714357313292,267.285113267522,1664.2749794999836,1071,240,1311,
MARL,150,7,1,4.802,5.401,4,72.19415168232625,90.012266609978,audit_grid,45.88811309947939,32.80679163332334,78.69490473280274,71.68731637502788,60,240,300,
GA,150,8,1,2.376556,4.059085,18,7.183510932180496,1.1256756302521183,audit_grid,144.58165317175002,161.96340000000004,306.54505317175006,3994.873118916992,2891,240,3131,
BO-online,150,8,1,5.518185121711505,2.6292858932832295,12,18.855636782542632,1.093503528337095,audit_grid,152.51353480702895,96.2124040438345,248.72593885086343,1430.390241999994,1071,240,1311,
MARL,150,8,1,4.802,5.401,4,67.76512658517294,69.93468121226599,audit_grid,48.4033309488217,36.43934666258189,84.84267761140359,74.8569857919938,60,240,300,
